Word,both_hit,both_fa,both_h_fa,d_both,c_both,img,Bird2001,Bristol2006,Chiarello1999,Glasgow2018,Cortese,MRC,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Max_strength.perceptual,Max_strength.action,Max_strength.sensorimotor,Minkowski3.perceptual,Minkowski3.action,Minkowski3.sensorimotor,c.Bird,c.Bristol,c.Chiarello,c.Cortese,c.Glasgow,c.MRC,Frequency,Length.y,Body,Food,Object,Communication
MAYOR,0.85,0.17,0.68,2,-0.03,6.1,NA,NA,NA,NA,6.1,5.23,3.118,0.059,0.824,0.353,0.118,3.882,0.2,0.75,2.25,1.55,0.35,3.882,2.25,3.882,4.472,2.498,4.718,NA,NA,NA,1.59923593,NA,0.432696059,0.662744366,-0.630507055,-1.317345374,-0.616285892,0.996812778,1.050393492
MEADOW,0.72,0.1,0.62,1.85,0.35,6.4,NA,NA,NA,6.353,6.4,6.22,0.684,0.053,1.579,0.579,1.579,4.316,2.105,1.737,2.474,0.526,1.105,4.316,2.474,4.316,4.461,3.148,4.932,NA,NA,NA,1.89923593,1.494183359,1.422696059,-0.056899721,0.189008099,0.652519675,0.060558351,1.130055773,-0.519416434
MEAGER,0.7,0.18,0.52,1.43,0.19,3.4,NA,NA,NA,NA,3.4,NA,0.833,0.222,1.444,0.667,0,3.5,0.111,0.833,1.333,0.833,0.056,3.5,1.333,3.5,3.603,1.523,3.691,NA,NA,NA,-1.10076407,NA,NA,-1.210935167,-0.377022982,-0.808161439,-0.232594631,-0.150099152,-1.054254057
MEASURE,0.65,0.4,0.25,0.64,-0.07,5.1,4.405,4.5,NA,3.813,5.1,3.79,1.19,0,1.667,0.333,0,3.238,0.65,2.9,2,0.5,0.55,3.238,2.9,3.238,3.429,3.206,4.184,0.022889437,0.491193786,NA,0.59923593,-1.045816641,-1.007303941,0.836135061,0.230287221,-0.180683308,-0.758621234,0.839947836,-0.797255168
MEDAL,0.72,0.2,0.52,1.41,0.13,6.6,NA,NA,NA,6.618,6.6,5.29,0.688,0,2.812,0.062,0,4.312,0.412,2.765,2.824,0.529,1.941,4.312,2.824,4.312,4.684,3.713,5.36,NA,NA,NA,2.09923593,1.759183359,0.492696059,0.610942032,-0.442578544,0.754211593,-0.594100749,1.598531955,-0.254849166
MEDDLE,0.65,0.27,0.38,1.01,0.12,2.8,NA,NA,2.28571,3.294,2.8,NA,2.316,0,1.526,0.632,0,2.368,0.75,1.875,2.812,2.938,0.562,2.368,2.938,2.938,3.09,3.798,4.385,NA,NA,-2.630724131,-1.70076407,-1.564816641,NA,-0.749300323,-0.728098035,-0.084705928,-0.134183532,-0.548764713,0.93835409
MEDIC,0.65,0.2,0.45,1.23,0.23,5.5,NA,NA,NA,NA,5.5,NA,1.222,0,0.778,0.111,0.278,2.944,1.737,2.368,2.474,2,1.737,2.944,2.474,2.944,3.031,3.606,4.212,NA,NA,NA,0.99923593,NA,NA,-0.163031132,-0.30202757,0.679853703,-0.530853006,0.004256941,0.111747154
MEDLEY,0.8,0.25,0.55,1.52,-0.08,3.6,NA,NA,NA,NA,3.6,NA,3.222,0.833,0.722,0.778,0.5,2.333,0.25,0.45,3.1,2.25,0.25,3.222,3.1,3.222,3.627,3.457,4.465,NA,NA,NA,-0.90076407,NA,NA,-0.777640788,-0.20753638,-1.204935291,0.4002496,0.11908001,1.618372695
MEETING,0.58,0.12,0.47,1.4,0.49,5.3,NA,NA,NA,4.943,5.3,4.51,3.059,0.118,0.471,0.647,0.118,3.941,1.222,1.667,3,2.611,0.833,3.941,3,3.941,4.485,3.729,5.218,NA,NA,NA,0.79923593,0.084183359,-0.287303941,1.545225744,-0.239380133,-0.361201949,-0.512617096,0.827694789,1.74001304
MEGA,0.63,0.03,0.6,2.17,0.75,3.9,NA,NA,NA,NA,3.9,NA,0.647,0.059,1.647,0.647,0.118,2.882,0.762,1.143,1.762,1,1.095,2.882,1.762,2.882,3.071,2.134,3.382,NA,NA,NA,-0.60076407,NA,NA,NA,NA,NA,NA,NA,NA
